datetime,symbol,open,high,low,close,volume
2026-04-27 09:30:00,NASDAQ:AMD,346.585,349.23,337.39,338.71,282795.0
2026-04-27 09:35:00,NASDAQ:AMD,338.5,339.16,334.5,334.55,251399.0
2026-04-27 09:40:00,NASDAQ:AMD,334.52,335.07,330.4,333.4,291351.0
2026-04-27 09:45:00,NASDAQ:AMD,333.5,333.8,330.69,331.05,167235.0
2026-04-27 09:50:00,NASDAQ:AMD,331.09,333.7,328.82,333.58,182432.0
2026-04-27 09:55:00,NASDAQ:AMD,333.73,337.1,333.51,335.81,132858.0
2026-04-27 10:00:00,NASDAQ:AMD,335.8,336.0,333.45,334.99,108861.0
2026-04-27 10:05:00,NASDAQ:AMD,334.88,337.355,333.88,335.39,110073.0
2026-04-27 10:10:00,NASDAQ:AMD,335.39,338.0,334.39,337.9,103683.0
2026-04-27 10:15:00,NASDAQ:AMD,337.92,337.99,335.5,336.6,66174.0
2026-04-27 10:20:00,NASDAQ:AMD,336.54,337.45,335.71,336.88,53141.0
2026-04-27 10:25:00,NASDAQ:AMD,336.9,337.31,334.75,334.78,74033.0
2026-04-27 10:30:00,NASDAQ:AMD,334.7,335.8,333.13,335.8,81407.0
2026-04-27 10:35:00,NASDAQ:AMD,335.73,337.2,334.62,335.25,64023.0
2026-04-27 10:40:00,NASDAQ:AMD,335.36,336.25,334.9,335.97,38616.0
2026-04-27 10:45:00,NASDAQ:AMD,336.0,336.13,334.28,335.73,32690.0
2026-04-27 10:50:00,NASDAQ:AMD,335.64,337.0,334.49,335.2,35360.0
2026-04-27 10:55:00,NASDAQ:AMD,335.13,336.0,334.65,335.44,37919.0
2026-04-27 11:00:00,NASDAQ:AMD,335.5,336.2,333.1,333.1,64926.0
2026-04-27 11:05:00,NASDAQ:AMD,333.12,336.14,332.99,335.66,75039.0
2026-04-27 11:10:00,NASDAQ:AMD,335.66,336.44,334.47,334.49,31720.0
2026-04-27 11:15:00,NASDAQ:AMD,334.47,336.08,334.31,335.06,27835.0
2026-04-27 11:20:00,NASDAQ:AMD,335.14,335.28,333.22,333.22,42074.0
2026-04-27 11:25:00,NASDAQ:AMD,333.2,334.05,332.6,333.59,50723.0
2026-04-27 11:30:00,NASDAQ:AMD,333.62,334.02,332.0,333.22,60445.0
2026-04-27 11:35:00,NASDAQ:AMD,333.21,333.5,332.35,333.21,63307.0
2026-04-27 11:40:00,NASDAQ:AMD,333.2,334.08,332.84,333.5,36611.0
2026-04-27 11:45:00,NASDAQ:AMD,333.48,334.26,333.06,333.59,27263.0
2026-04-27 11:50:00,NASDAQ:AMD,333.54,334.0,332.49,332.84,41784.0
2026-04-27 11:55:00,NASDAQ:AMD,332.84,333.8,332.62,332.67,37957.0
2026-04-27 12:00:00,NASDAQ:AMD,332.78,333.46,331.58,331.81,50725.0
2026-04-27 12:05:00,NASDAQ:AMD,331.775,332.72,331.69,332.49,43529.0
2026-04-27 12:10:00,NASDAQ:AMD,332.45,333.2,332.18,332.845,52259.0
2026-04-27 12:15:00,NASDAQ:AMD,332.9,335.85,332.53,335.56,59785.0
2026-04-27 12:20:00,NASDAQ:AMD,335.61,336.25,334.44,334.46,36540.0
2026-04-27 12:25:00,NASDAQ:AMD,334.46,334.46,332.45,332.88,24979.0
2026-04-27 12:30:00,NASDAQ:AMD,332.905,333.17,331.91,332.86,29342.0
2026-04-27 12:35:00,NASDAQ:AMD,332.91,333.78,332.91,333.33,24880.0
2026-04-27 12:40:00,NASDAQ:AMD,333.36,334.4,333.09,334.09,19926.0
2026-04-27 12:45:00,NASDAQ:AMD,334.02,334.87,333.5,334.62,36894.0
2026-04-27 12:50:00,NASDAQ:AMD,334.46,335.12,334.24,334.33,44781.0
2026-04-27 12:55:00,NASDAQ:AMD,334.33,334.43,333.71,334.07,30183.0
2026-04-27 13:00:00,NASDAQ:AMD,334.13,334.37,333.1,334.115,16245.0
2026-04-27 13:05:00,NASDAQ:AMD,334.19,334.61,333.83,334.07,16878.0
2026-04-27 13:10:00,NASDAQ:AMD,334.21,334.67,333.74,334.58,14207.0
2026-04-27 13:15:00,NASDAQ:AMD,334.59,335.24,333.79,334.36,25924.0
2026-04-27 13:20:00,NASDAQ:AMD,334.33,334.6,333.47,334.28,41966.0
2026-04-27 13:25:00,NASDAQ:AMD,334.35,335.14,334.24,335.1,25532.0
2026-04-27 13:30:00,NASDAQ:AMD,335.08,335.9,334.8,335.65,23027.0
2026-04-27 13:35:00,NASDAQ:AMD,335.75,335.96,335.18,335.37,14354.0
