datetime,symbol,open,high,low,close,volume
2026-04-27 09:30:00,NASDAQ:PANW,176.55,179.65,176.55,177.03,17893.0
2026-04-27 09:35:00,NASDAQ:PANW,176.81,178.75,176.8,178.75,9652.0
2026-04-27 09:40:00,NASDAQ:PANW,178.74,180.1,178.74,180.1,15107.0
2026-04-27 09:45:00,NASDAQ:PANW,180.05,181.9,180.0,181.9,28323.0
2026-04-27 09:50:00,NASDAQ:PANW,181.94,182.35,180.6,180.93,19318.0
2026-04-27 09:55:00,NASDAQ:PANW,180.85,180.88,180.11,180.26,9478.0
2026-04-27 10:00:00,NASDAQ:PANW,180.36,180.83,180.08,180.83,11721.0
2026-04-27 10:05:00,NASDAQ:PANW,180.8,180.855,180.385,180.41,4158.0
2026-04-27 10:10:00,NASDAQ:PANW,180.38,180.85,180.38,180.81,5224.0
2026-04-27 10:15:00,NASDAQ:PANW,180.96,181.895,180.96,181.86,9786.0
2026-04-27 10:20:00,NASDAQ:PANW,181.93,182.44,181.71,182.35,12330.0
2026-04-27 10:25:00,NASDAQ:PANW,182.45,183.54,182.45,183.5,16227.0
2026-04-27 10:30:00,NASDAQ:PANW,183.39,183.5,183.01,183.19,16804.0
2026-04-27 10:35:00,NASDAQ:PANW,183.29,183.8,183.0,183.05,13188.0
2026-04-27 10:40:00,NASDAQ:PANW,182.98,183.26,182.5,182.87,12580.0
2026-04-27 10:45:00,NASDAQ:PANW,182.93,183.36,182.85,182.96,7454.0
2026-04-27 10:50:00,NASDAQ:PANW,182.93,182.93,182.58,182.86,7256.0
2026-04-27 10:55:00,NASDAQ:PANW,182.89,183.22,182.69,183.22,7970.0
2026-04-27 11:00:00,NASDAQ:PANW,183.23,183.46,183.06,183.12,7076.0
2026-04-27 11:05:00,NASDAQ:PANW,183.25,183.37,182.965,183.14,5670.0
2026-04-27 11:10:00,NASDAQ:PANW,183.14,183.47,183.0,183.37,9022.0
2026-04-27 11:15:00,NASDAQ:PANW,183.435,183.75,183.35,183.49,7426.0
2026-04-27 11:20:00,NASDAQ:PANW,183.43,183.7,183.18,183.67,7698.0
2026-04-27 11:25:00,NASDAQ:PANW,183.71,183.78,183.41,183.59,6237.0
2026-04-27 11:30:00,NASDAQ:PANW,183.56,183.68,183.36,183.41,4385.0
2026-04-27 11:35:00,NASDAQ:PANW,183.44,183.44,182.87,183.1,8178.0
2026-04-27 11:40:00,NASDAQ:PANW,183.06,183.36,182.94,183.05,6938.0
2026-04-27 11:45:00,NASDAQ:PANW,182.98,183.28,182.9,182.9,7176.0
2026-04-27 11:50:00,NASDAQ:PANW,182.89,183.2,182.89,183.2,3834.0
2026-04-27 11:55:00,NASDAQ:PANW,183.21,183.73,183.21,183.7,4301.0
2026-04-27 12:00:00,NASDAQ:PANW,183.74,183.95,183.71,183.95,11442.0
2026-04-27 12:05:00,NASDAQ:PANW,183.95,184.01,183.475,183.48,9678.0
2026-04-27 12:10:00,NASDAQ:PANW,183.62,183.65,182.43,182.67,27217.0
2026-04-27 12:15:00,NASDAQ:PANW,182.76,182.84,182.5,182.77,6358.0
2026-04-27 12:20:00,NASDAQ:PANW,182.765,182.765,182.33,182.65,7416.0
2026-04-27 12:25:00,NASDAQ:PANW,182.65,182.7,182.51,182.55,3122.0
2026-04-27 12:30:00,NASDAQ:PANW,182.53,182.56,182.175,182.31,2183.0
2026-04-27 12:35:00,NASDAQ:PANW,182.29,182.33,182.05,182.17,4778.0
2026-04-27 12:40:00,NASDAQ:PANW,182.15,182.43,182.14,182.19,4388.0
2026-04-27 12:45:00,NASDAQ:PANW,182.21,182.235,182.07,182.1,6415.0
2026-04-27 12:50:00,NASDAQ:PANW,182.12,182.55,182.12,182.51,5910.0
2026-04-27 12:55:00,NASDAQ:PANW,182.46,182.55,182.33,182.55,4987.0
2026-04-27 13:00:00,NASDAQ:PANW,182.59,182.6,182.3,182.52,2414.0
2026-04-27 13:05:00,NASDAQ:PANW,182.52,182.54,182.24,182.48,3964.0
2026-04-27 13:10:00,NASDAQ:PANW,182.52,182.57,182.3,182.33,3745.0
2026-04-27 13:15:00,NASDAQ:PANW,182.35,182.64,182.3,182.64,10695.0
2026-04-27 13:20:00,NASDAQ:PANW,182.65,182.88,182.38,182.84,5612.0
2026-04-27 13:25:00,NASDAQ:PANW,182.9,183.1,182.9,183.05,7938.0
2026-04-27 13:30:00,NASDAQ:PANW,183.09,183.35,183.09,183.14,3666.0
2026-04-27 13:35:00,NASDAQ:PANW,183.18,183.23,182.96,183.0,3623.0
2026-04-27 13:40:00,NASDAQ:PANW,183.02,183.11,182.9,182.99,1601.0
2026-04-27 13:45:00,NASDAQ:PANW,183.05,183.29,183.02,183.29,2209.0
2026-04-27 13:50:00,NASDAQ:PANW,183.25,183.33,183.17,183.23,5335.0
2026-04-27 13:55:00,NASDAQ:PANW,183.19,183.29,183.1,183.26,1455.0
2026-04-27 14:00:00,NASDAQ:PANW,183.25,183.27,183.005,183.02,16750.0
2026-04-27 14:05:00,NASDAQ:PANW,183.03,183.22,183.03,183.2,4502.0
2026-04-27 14:10:00,NASDAQ:PANW,183.19,183.51,183.19,183.49,4695.0
2026-04-27 14:15:00,NASDAQ:PANW,183.48,183.57,183.35,183.35,2424.0
2026-04-27 14:20:00,NASDAQ:PANW,183.39,183.43,183.19,183.24,2619.0
2026-04-27 14:25:00,NASDAQ:PANW,183.23,183.27,183.1,183.17,3212.0
2026-04-27 14:30:00,NASDAQ:PANW,183.17,183.23,182.93,183.05,2966.0
2026-04-27 14:35:00,NASDAQ:PANW,183.01,183.05,182.87,182.96,3034.0
2026-04-27 14:40:00,NASDAQ:PANW,182.93,183.2,182.88,183.18,5490.0
2026-04-27 14:45:00,NASDAQ:PANW,183.2,183.32,182.625,183.05,11243.0
2026-04-27 14:50:00,NASDAQ:PANW,183.07,183.56,183.07,183.44,6743.0
2026-04-27 14:55:00,NASDAQ:PANW,183.45,183.55,183.27,183.28,5323.0
2026-04-27 15:00:00,NASDAQ:PANW,183.26,183.3,182.93,182.93,7446.0
2026-04-27 15:05:00,NASDAQ:PANW,182.93,182.93,182.73,182.82,10365.0
2026-04-27 15:10:00,NASDAQ:PANW,182.84,182.86,182.61,182.61,4712.0
2026-04-27 15:15:00,NASDAQ:PANW,182.65,183.01,182.57,182.99,4652.0
2026-04-27 15:20:00,NASDAQ:PANW,183.01,183.4,183.01,183.38,5169.0
2026-04-27 15:25:00,NASDAQ:PANW,183.38,183.41,182.91,183.0,4838.0
2026-04-27 15:30:00,NASDAQ:PANW,183.01,183.41,183.01,183.32,8273.0
2026-04-27 15:35:00,NASDAQ:PANW,183.29,183.37,183.07,183.32,9659.0
2026-04-27 15:40:00,NASDAQ:PANW,183.37,183.45,183.28,183.32,3842.0
2026-04-27 15:45:00,NASDAQ:PANW,183.28,183.36,183.21,183.26,8464.0
2026-04-27 15:50:00,NASDAQ:PANW,183.35,183.4,182.93,182.96,13441.0
2026-04-27 15:55:00,NASDAQ:PANW,182.98,183.21,182.82,182.9,36182.0
2026-04-28 09:30:00,NASDAQ:PANW,184.23,186.0,183.27,184.58,26725.0
