id,ticker,type,strike,occ_symbol,entry_bar_utc,exit_bar_utc,why,entry_prem,exit_prem,pnl_pct,quality
4,SPY,PUT,751,SPY260717P00751000,2026-07-13T13:51:00Z,2026-07-13T14:00:00Z,STOP,2.68,2.68,0.00,bad
7,SPY,CALL,752,SPY260717C00752000,2026-07-14T13:38:00Z,2026-07-14T13:42:00Z,TARGET,1.31,1.31,0.00,bad
11,SPY,CALL,756,SPY260717C00756000,2026-07-15T13:36:00Z,2026-07-15T13:45:00Z,STOP,0.26,0.26,0.00,bad
15,SPY,PUT,752,SPY260717P00752000,2026-07-16T13:35:00Z,2026-07-16T13:38:00Z,TARGET,3.22,3.22,0.00,bad
21,SPY,PUT,740,SPY260717P00740000,2026-07-17T13:35:00Z,2026-07-17T13:41:00Z,STOP,0.26,0.26,0.00,bad
