id,ticker,type,strike,occ_symbol,entry_bar_utc,exit_bar_utc,why,entry_prem,exit_prem,pnl_pct,quality
1,TSLA,PUT,395.00,TSLA  260717P00395000,2026-07-13T13:35:00Z,2026-07-13T13:36:00Z,TARGET,6.13,6.13,0.00,bad
8,TSLA,PUT,395.00,TSLA  260717P00395000,2026-07-14T13:46:00Z,2026-07-14T13:47:00Z,TARGET,6.13,6.13,0.00,bad
12,TSLA,CALL,407.50,TSLA  260717C00407500,2026-07-15T13:36:00Z,2026-07-15T13:37:00Z,TARGET,0.37,0.37,0.00,bad
18,TSLA,PUT,385.00,TSLA  260717P00385000,2026-07-16T13:44:00Z,2026-07-16T13:51:00Z,TARGET,1.53,1.53,0.00,bad
23,TSLA,PUT,377.50,TSLA  260717P00377500,2026-07-17T13:39:00Z,2026-07-17T13:42:00Z,TARGET,0.38,0.38,0.00,bad
