id,ticker,type,strike,occ_symbol,entry_bar_utc,exit_bar_utc,why,entry_prem,exit_prem,pnl_pct,quality
2,QQQ,PUT,715,QQQ   260717P00715000,2026-07-13T13:37:00Z,2026-07-13T13:40:00Z,TARGET,10.49,10.49,0.00,bad
24,SPY,PUT,749,SPY   260717P00749000,2026-07-13T16:35:00Z,2026-07-13T16:36:00Z,TARGET,1.81,1.81,0.00,bad
33,QQQ,PUT,710,QQQ   260717P00710000,2026-07-13T19:23:00Z,2026-07-13T19:26:00Z,TARGET,6.64,6.64,0.00,bad
38,SPY,CALL,752,SPY   260717C00752000,2026-07-14T13:38:00Z,2026-07-14T13:45:00Z,TARGET,1.31,1.31,0.00,bad
39,AAPL,CALL,317.5,AAPL  260717C00317500,2026-07-14T13:38:00Z,2026-07-14T19:55:00Z,EOD,15.98,15.98,0.00,bad
42,TSLA,PUT,395,TSLA  260717P00395000,2026-07-14T13:47:00Z,2026-07-14T15:10:00Z,STOP,6.13,6.13,0.00,bad
73,NVDA,PUT,210,NVDA  260717P00210000,2026-07-15T14:04:00Z,2026-07-15T14:24:00Z,TARGET,3.40,3.40,0.00,bad
75,AAPL,CALL,325,AAPL  260717C00325000,2026-07-15T14:10:00Z,2026-07-15T14:12:00Z,TARGET,8.68,8.68,0.00,bad
