id,ticker,type,strike,occ_symbol,entry_bar_utc,exit_bar_utc,why,entry_prem,exit_prem,pnl_pct,quality
0,AAPL,CALL,322.5,AAPL  260717C00322500,2026-07-13T13:35:00Z,2026-07-13T13:36:00Z,TARGET,11.10,11.10,0.00,bad
5,AAPL,CALL,315,AAPL  260717C00315000,2026-07-14T13:37:00Z,2026-07-14T13:38:00Z,TARGET,18.43,18.43,0.00,bad
10,AAPL,CALL,320,AAPL  260717C00320000,2026-07-15T13:35:00Z,2026-07-15T13:36:00Z,TARGET,13.50,13.50,0.00,bad
19,AAPL,CALL,330,AAPL  260717C00330000,2026-07-16T13:46:00Z,2026-07-16T13:52:00Z,TARGET,4.40,4.40,0.00,bad
24,AAPL,CALL,335,AAPL  260717C00335000,2026-07-17T13:39:00Z,2026-07-17T13:51:00Z,STOP,1.53,1.53,0.00,bad
