et_time,ticker,side,entry_price,contracts,cost,result,won,pnl,pnl_pct,cash_after
2026-08-09 09:30:11 PM ET,KXDOGE15M-26AUG092130-30,yes,0.9830,7,6.89,yes,True,0.11,1.6,12.09
2026-08-09 09:30:12 PM ET,KXXRP15M-26AUG092130-30,yes,0.9820,7,6.88,yes,True,0.12,1.7,19.09
2026-08-09 09:45:11 PM ET,KXSOL15M-26AUG092145-45,no,0.9490,5,4.76,no,True,0.24,5.0,5.05
2026-08-09 09:45:12 PM ET,KXXRP15M-26AUG092145-45,no,0.9690,4,3.88,no,True,0.12,3.0,9.05
2026-08-09 09:45:12 PM ET,KXDOGE15M-26AUG092145-45,no,0.9790,1,0.98,no,True,0.02,2.0,10.05
2026-08-09 09:45:20 PM ET,KXBTC15M-26AUG092145-45,no,0.9380,10,9.42,no,True,0.58,6.1,20.05
2026-08-09 10:15:11 PM ET,KXSOL15M-26AUG092215-15,no,0.9710,3,2.92,no,True,0.08,2.8,4.62
2026-08-09 10:15:20 PM ET,KXBTC15M-26AUG092215-15,no,0.9670,10,9.69,no,True,0.31,3.2,14.62
2026-08-09 10:15:21 PM ET,KXBNB15M-26AUG092215-15,no,0.9690,3,2.91,no,True,0.09,3.0,17.62
2026-08-09 10:15:22 PM ET,KXDOGE15M-26AUG092215-15,no,0.9640,3,2.90,no,True,0.10,3.5,20.62
2026-08-09 11:15:12 PM ET,KXXRP15M-26AUG092315-15,no,0.9840,10,9.85,no,True,0.15,1.5,20.77
2026-08-09 11:30:10 PM ET,KXBTC15M-26AUG092330-30,yes,0.9850,5,4.93,yes,True,0.07,1.4,11.00
2026-08-09 11:30:11 PM ET,KXXRP15M-26AUG092330-30,yes,0.9830,10,9.84,yes,True,0.16,1.6,21.00
2026-08-09 11:44:45 PM ET,KXDOGE15M-26AUG092345-45,yes,0.9310,11,10.29,stopped,False,-5.75,-55.9,15.25
2026-08-10 12:15:11 AM ET,KXBTC15M-26AUG100015-15,yes,0.9690,7,6.80,yes,True,0.20,3.0,15.45
2026-08-10 12:45:11 AM ET,KXBTC15M-26AUG100045-45,no,0.9810,7,6.88,no,True,0.12,1.8,15.58
