id,ticker,type,strike,occ_symbol,entry_bar_utc,exit_bar_utc,why,entry_prem,exit_prem,pnl_pct,quality
38,QQQ,put,715,QQQ   260717P00715000,2026-07-13T13:35:00Z,2026-07-13T13:40:00Z,TARGET,7.07,7.38,4.38,ok
42,QQQ,put,716,QQQ   260717P00716000,2026-07-14T14:05:00Z,2026-07-14T14:15:00Z,TARGET,6.56,6.96,6.10,ok
44,QQQ,put,722,QQQ   260717P00722000,2026-07-15T13:35:00Z,2026-07-15T13:40:00Z,TARGET,5.13,5.69,10.92,ok
50,QQQ,put,710,QQQ   260717P00710000,2026-07-16T13:35:00Z,2026-07-16T13:40:00Z,TARGET,4.44,5.24,18.02,ok
53,QQQ,put,688,QQQ   260717P00688000,2026-07-17T13:35:00Z,2026-07-17T13:40:00Z,TARGET,3.34,3.90,16.77,ok
