id,ticker,type,strike,occ_symbol,entry_bar_utc,exit_bar_utc,why,entry_prem,exit_prem,pnl_pct,quality
37,TSLA,put,395.0,TSLA  260717P00395000,2026-07-13T13:35:00Z,2026-07-13T13:40:00Z,TARGET,7.83,7.55,-3.58,ok
43,TSLA,put,395.0,TSLA  260717P00395000,2026-07-14T15:50:00Z,2026-07-14T17:00:00Z,TARGET,6.50,6.45,-0.77,ok
47,TSLA,put,397.5,TSLA  260717P00397500,2026-07-15T13:50:00Z,2026-07-15T14:15:00Z,TARGET,5.88,6.13,4.25,ok
51,TSLA,put,385.0,TSLA  260717P00385000,2026-07-16T13:40:00Z,2026-07-16T13:50:00Z,TARGET,4.20,4.33,3.10,ok
54,TSLA,put,377.5,TSLA  260717P00377500,2026-07-17T13:35:00Z,2026-07-17T13:40:00Z,TARGET,2.49,2.97,19.28,ok
