id,ticker,type,strike,occ_symbol,entry_bar_utc,exit_bar_utc,why,entry_prem,exit_prem,pnl_pct,quality
36,AAPL,call,322.5,AAPL260717C00322500,2026-07-13T13:35:00Z,2026-07-13T13:40:00Z,TARGET,3.80,4.08,7.37,ok
40,AAPL,call,315,AAPL260717C00315000,2026-07-14T13:35:00Z,2026-07-14T13:45:00Z,TARGET,3.50,2.88,-17.71,ok
45,AAPL,call,322.5,AAPL260717C00322500,2026-07-15T13:40:00Z,2026-07-15T13:45:00Z,TARGET,2.43,2.27,-6.58,ok
52,AAPL,call,330,AAPL260717C00330000,2026-07-16T13:50:00Z,2026-07-16T13:55:00Z,TARGET,2.54,3.18,25.20,ok
56,AAPL,call,335,AAPL260717C00335000,2026-07-17T13:35:00Z,2026-07-17T13:50:00Z,STOP,1.97,0.78,-60.41,ok
