begins_at_utc,open,high,low,close,volume
2026-03-20T13:30:00Z,247.640000,248.730000,246.920000,247.140000,8155411
2026-03-20T13:35:00Z,247.160000,247.264500,246.695000,246.870000,254215
2026-03-20T13:40:00Z,246.902500,247.650000,246.610000,247.330000,277092
2026-03-20T13:45:00Z,247.340000,248.050000,247.300000,247.815000,284666
2026-03-20T13:50:00Z,247.810000,248.760000,247.580000,248.630000,239497
2026-03-20T13:55:00Z,248.620000,248.686200,247.530000,247.680000,220838
2026-03-20T14:00:00Z,247.660000,247.755000,246.820000,247.160000,204494
2026-03-20T14:05:00Z,247.170900,247.640000,247.120000,247.455000,160943
2026-03-20T14:10:00Z,247.450000,247.704200,247.220000,247.640900,152740
2026-03-20T14:15:00Z,247.630000,248.330000,247.591100,247.940100,254464
2026-03-20T14:20:00Z,247.955000,248.260000,247.860000,248.090000,86382
2026-03-20T14:25:00Z,248.085000,248.460000,247.750000,247.760000,162839
2026-03-20T14:30:00Z,247.810000,248.070000,247.680500,247.845000,114550
2026-03-20T14:35:00Z,247.855000,247.855000,247.160100,247.205600,125645
2026-03-20T14:40:00Z,247.195000,248.030000,247.180000,248.014100,190902
2026-03-20T14:45:00Z,248.000000,248.260000,247.850000,248.040400,132523
2026-03-20T14:50:00Z,248.030000,248.300000,247.940000,248.130000,137335
2026-03-20T14:55:00Z,248.430000,248.460000,248.165700,248.185000,33091
2026-03-20T15:00:00Z,248.200000,248.640000,248.030100,248.219000,94014
2026-03-20T15:05:00Z,248.245000,248.529400,248.010000,248.180000,92339
2026-03-20T15:10:00Z,248.170000,248.315300,247.850000,248.195000,110021
2026-03-20T15:15:00Z,248.240000,248.385000,247.940000,248.190000,125158
2026-03-20T15:20:00Z,248.180000,248.650000,247.780000,248.170000,134912
2026-03-20T15:25:00Z,248.200000,248.385000,247.850000,247.985000,75357
2026-03-20T15:30:00Z,247.950000,248.320000,247.860000,248.227400,52984
2026-03-20T15:35:00Z,248.220000,248.240000,247.910100,247.985000,46353
2026-03-20T15:40:00Z,247.940000,248.320000,247.880000,248.310000,73786
2026-03-20T15:45:00Z,248.300000,248.470000,248.125000,248.280000,73867
2026-03-20T15:50:00Z,248.280000,248.869200,248.210000,248.860000,99096
2026-03-20T15:55:00Z,248.830000,248.930000,248.680000,248.840000,70317
2026-03-20T16:00:00Z,248.836400,249.060000,248.750000,248.948100,89519
2026-03-20T16:05:00Z,248.900100,248.900100,248.560000,248.690000,85007
2026-03-20T16:10:00Z,248.700000,248.980000,248.640100,248.840000,86133
2026-03-20T16:15:00Z,248.830000,248.860000,248.557200,248.730000,73543
2026-03-20T16:20:00Z,248.760000,248.900000,248.580000,248.735000,71218
2026-03-20T16:25:00Z,248.770000,248.855000,248.560100,248.620000,80159
2026-03-20T16:30:00Z,248.630000,248.660000,248.150000,248.249900,98098
2026-03-20T16:35:00Z,248.250000,248.460000,248.145000,248.210000,77625
2026-03-20T16:40:00Z,248.200000,248.450000,248.146200,248.410000,62482
