begins_at_utc,open,high,low,close,volume
2026-03-20T13:30:00Z,591.070000,591.150000,588.670000,589.080000,1155741
2026-03-20T13:35:00Z,589.060000,589.610000,588.580000,588.740000,512969
2026-03-20T13:40:00Z,588.740000,590.400000,588.610000,590.370000,521922
2026-03-20T13:45:00Z,590.365000,590.730000,589.210000,589.440000,498591
2026-03-20T13:50:00Z,589.400000,589.470000,587.540000,588.170000,628040
2026-03-20T13:55:00Z,588.180000,588.349700,586.160000,586.300000,804427
2026-03-20T14:00:00Z,586.300000,586.950000,585.700000,586.573900,841898
2026-03-20T14:05:00Z,586.560000,587.340000,585.860000,586.500000,578662
2026-03-20T14:10:00Z,586.520000,586.890000,585.235000,585.580000,598640
2026-03-20T14:15:00Z,585.570000,586.590000,585.440000,586.190000,551928
2026-03-20T14:20:00Z,586.180000,586.450000,585.520000,585.990000,433349
2026-03-20T14:25:00Z,585.950000,586.230000,585.540000,585.945000,343696
2026-03-20T14:30:00Z,585.970000,586.630000,585.960000,586.325000,263304
2026-03-20T14:35:00Z,587.000000,587.280000,585.790000,586.360000,670286
2026-03-20T14:40:00Z,586.360000,586.660000,586.070000,586.250000,308973
2026-03-20T14:45:00Z,586.260000,586.750000,586.000000,586.480000,296623
2026-03-20T14:50:00Z,586.470000,586.610000,584.970000,585.080000,575181
2026-03-20T14:55:00Z,585.070000,586.375000,585.060000,585.840000,473476
2026-03-20T15:00:00Z,585.898700,587.040000,585.112500,585.525000,587939
2026-03-20T15:05:00Z,585.520000,586.079900,585.100000,585.660000,329910
2026-03-20T15:10:00Z,585.670000,586.880000,585.600000,586.720000,363500
2026-03-20T15:15:00Z,586.720000,586.810000,585.620000,585.699900,326417
2026-03-20T15:20:00Z,585.700000,587.630000,585.420000,585.970000,666190
2026-03-20T15:25:00Z,585.980000,586.250000,585.350000,585.750000,371315
2026-03-20T15:30:00Z,585.790000,586.580000,585.540000,586.390000,303733
2026-03-20T15:35:00Z,586.360000,586.660000,585.810000,586.060000,246651
2026-03-20T15:40:00Z,586.230000,586.560000,586.130000,586.560000,45021
2026-03-20T15:45:00Z,586.520000,586.780000,585.950100,586.470100,204842
2026-03-20T15:50:00Z,586.480000,586.910000,585.970000,586.896500,212315
2026-03-20T15:55:00Z,586.860000,587.140000,586.550000,586.885000,225432
2026-03-20T16:00:00Z,586.910000,587.930000,586.680000,587.710100,385952
2026-03-20T16:05:00Z,587.690000,587.700000,586.860000,587.170000,356540
2026-03-20T16:10:00Z,587.190000,587.450000,587.110100,587.255000,39516
2026-03-20T16:15:00Z,587.360000,587.760000,586.950000,587.740000,243263
2026-03-20T16:20:00Z,587.760000,587.920000,587.350000,587.390000,321490
2026-03-20T16:25:00Z,587.380000,587.410000,586.650000,586.740000,327468
2026-03-20T16:30:00Z,586.750000,586.750000,585.520000,586.065000,435280
2026-03-20T16:35:00Z,586.070000,586.420000,585.610000,585.880000,261886
2026-03-20T16:40:00Z,585.890000,586.010000,585.630000,585.790000,253335
2026-03-20T16:45:00Z,585.780000,585.910000,585.209000,585.530300,253508
2026-03-20T16:50:00Z,585.560000,585.860000,585.560000,585.700000,55788
2026-03-20T16:55:00Z,585.680000,586.590000,585.650000,585.940000,325509
2026-03-20T17:00:00Z,585.940000,586.415000,585.940000,586.195000,143909
2026-03-20T17:05:00Z,586.205000,586.355000,584.830000,585.960000,482763
2026-03-20T17:10:00Z,585.910000,586.150000,585.380000,585.490000,175846
2026-03-20T17:15:00Z,585.520000,585.730000,585.100000,585.210000,199670
2026-03-20T17:20:00Z,585.240000,585.720000,585.120000,585.350000,239703
2026-03-20T17:25:00Z,585.360000,585.460000,584.880000,585.040000,218188
2026-03-20T17:30:00Z,585.050000,585.215000,584.190000,584.360000,314635
2026-03-20T17:35:00Z,584.350000,584.580000,583.438000,584.130000,411979
2026-03-20T17:40:00Z,584.110000,584.460000,583.710000,583.860000,233094
2026-03-20T17:45:00Z,583.860000,584.000000,583.560500,583.800000,106945
2026-03-20T17:50:00Z,583.650000,584.440000,583.540000,584.300000,297477
2026-03-20T17:55:00Z,584.300000,584.620000,584.260000,584.480000,206059
2026-03-20T18:00:00Z,584.480000,584.710000,583.970000,583.980000,289015
2026-03-20T18:05:00Z,583.840000,584.130000,583.710000,584.125000,28402
2026-03-20T18:10:00Z,583.660000,583.780000,583.620000,583.745000,19094
2026-03-20T18:15:00Z,583.850000,583.950000,583.439000,583.770000,219838
2026-03-20T18:20:00Z,583.760000,583.940000,582.110000,582.320000,684085
2026-03-20T18:25:00Z,582.330000,583.300000,582.320000,582.870000,695399
2026-03-20T18:30:00Z,582.860000,583.055000,582.220000,582.340000,347981
2026-03-20T18:35:00Z,582.345000,582.465000,581.640000,581.780000,504811
2026-03-20T18:40:00Z,581.790000,582.090000,581.460000,581.555000,379736
2026-03-20T18:45:00Z,581.550000,581.860000,581.230000,581.440000,311817
2026-03-20T18:50:00Z,581.430000,581.790000,581.190000,581.390000,310648
2026-03-20T18:55:00Z,581.380000,581.720000,581.060000,581.550000,346357
2026-03-20T19:00:00Z,581.570000,582.150000,581.540000,581.630000,412676
2026-03-20T19:05:00Z,581.620000,581.719900,581.055000,581.380000,319579
2026-03-20T19:10:00Z,581.350000,581.480000,580.850000,581.360000,342646
2026-03-20T19:15:00Z,581.360000,581.660000,581.160000,581.620000,368965
2026-03-20T19:20:00Z,581.625000,581.625000,580.470000,580.550000,498495
2026-03-20T19:25:00Z,580.710200,580.870000,580.710200,580.780000,66407
2026-03-20T19:30:00Z,580.700000,581.060000,579.920000,580.029800,707981
2026-03-20T19:35:00Z,580.036800,580.120000,578.540000,579.320000,834360
2026-03-20T19:40:00Z,579.310000,580.596500,579.190000,580.495000,642888
2026-03-20T19:45:00Z,580.480000,580.590000,579.685000,579.890000,670014
2026-03-20T19:50:00Z,579.880000,581.030000,579.690000,580.900000,1190740
2026-03-20T19:55:00Z,580.910000,582.110000,580.800000,582.070000,1543344
2026-03-23T13:30:00Z,590.520000,591.000000,589.001000,590.100000,1612682
2026-03-23T13:35:00Z,590.110000,591.660000,589.320000,591.590000,865102
2026-03-23T13:40:00Z,591.600000,592.240000,590.000000,590.569900,916966
2026-03-23T13:45:00Z,590.590000,592.480000,590.350100,592.420000,618529
2026-03-23T13:50:00Z,592.425000,593.170000,591.701500,592.530000,604858
2026-03-23T13:55:00Z,592.520000,593.030000,591.590000,592.970000,550209
2026-03-23T14:00:00Z,592.970000,593.270000,591.630100,591.810000,694459
2026-03-23T14:05:00Z,591.810000,592.610000,591.230000,592.260000,526687
2026-03-23T14:10:00Z,592.280000,593.500000,591.960000,593.080000,632034
2026-03-23T14:15:00Z,593.090000,594.040000,593.040000,593.985000,737676
2026-03-23T14:20:00Z,593.980000,595.079900,593.645000,594.690000,695331
2026-03-23T14:25:00Z,594.680000,594.790000,593.380000,593.865000,566707
2026-03-23T14:30:00Z,593.860000,594.310000,593.220000,593.810000,380906
2026-03-23T14:35:00Z,593.830000,594.179100,593.030000,593.400000,348274
2026-03-23T14:40:00Z,593.330000,593.520000,592.860000,593.010000,321064
2026-03-23T14:45:00Z,593.010000,594.090000,592.460000,593.660000,575621
2026-03-23T14:50:00Z,593.670000,593.670000,592.660000,593.070000,368252
2026-03-23T14:55:00Z,593.069900,593.540000,592.700000,593.210000,371477
2026-03-23T15:00:00Z,593.240000,594.900000,593.000000,594.750000,476964
2026-03-23T15:05:00Z,594.740000,594.970000,594.140000,594.765000,402408
2026-03-23T15:10:00Z,594.780000,595.080000,594.200000,594.490000,359003
2026-03-23T15:15:00Z,594.460000,594.620000,593.740000,593.860000,303157
2026-03-23T15:20:00Z,593.850000,594.380000,593.110000,594.170000,397700
2026-03-23T15:25:00Z,594.280000,594.280000,592.910000,593.220000,409030
2026-03-23T15:30:00Z,593.240000,593.700000,592.910000,593.045100,264003
2026-03-23T15:35:00Z,593.060000,593.070000,591.390000,591.536200,666661
2026-03-23T15:40:00Z,591.500000,592.030000,591.000000,591.480000,629233
2026-03-23T15:45:00Z,591.480000,591.485000,590.180000,590.670000,682676
2026-03-23T15:50:00Z,590.660000,590.920000,588.880000,589.150000,848720
2026-03-23T15:55:00Z,589.170000,589.200000,587.490000,587.730000,906512
2026-03-23T16:00:00Z,587.725000,588.850000,587.670000,588.070000,802927
2026-03-23T16:05:00Z,588.080000,589.510000,587.870000,589.070000,633546
2026-03-23T16:10:00Z,589.330000,589.480000,589.030000,589.450000,93768
2026-03-23T16:15:00Z,588.420000,588.600000,588.360000,588.420000,38328
2026-03-23T16:20:00Z,588.449800,588.600000,588.360000,588.420100,38461
2026-03-23T16:25:00Z,587.880000,587.900000,585.960000,586.200000,1463896
2026-03-23T16:30:00Z,586.210000,587.630000,586.060000,587.610000,889012
2026-03-23T16:35:00Z,587.605000,588.270000,587.360000,587.525000,452504
